Movie_Title,average_sentiment_score,Movie_Rank,num_reviews,sentiment_score_ratio,Movie_Review_Rating
All About Eve,0.8371237579479112,141,463,0.8768898488120951,8.2
Judgment at Nuremberg,0.836209994253175,135,288,0.9236111111111112,8.3
Top Gun: Maverick,0.8347034788707284,146,4445,0.84859392575928,8.2
The Great Escape,0.8341472020704609,158,475,0.888421052631579,8.2
Hachi: A Dog&apos;s Tale,0.8338173564439931,232,672,0.8556547619047619,8.1
Pulp Fiction,0.8334077676016239,8,3803,0.8561661845911123,8.8
Spider-Man: Across the Spider-Verse,0.8326226243129903,44,1691,0.8296865759905382,8.5
Rear Window,0.8322122955792511,51,1088,0.8795955882352942,8.5
Gangs of Wasseypur,0.829395439781552,247,321,0.8411214953271028,8.2
Koe no katachi,0.8292928441773669,237,431,0.8839907192575406,8.1
Dead Poets Society,0.8281320919157972,185,917,0.8505997818974919,8.1
Metropolis,0.827995604003976,120,574,0.8885017421602788,8.3
To Kill a Mockingbird,0.8274794401120487,114,666,0.8798798798798799,8.3
Das Leben der Anderen,0.82624990751811,61,604,0.8940397350993378,8.4
The Father,0.8258123648986255,139,1115,0.863677130044843,8.2
Heat,0.8236448394143293,103,1528,0.8278795811518325,8.3
The Matrix,0.8228429167629733,16,5129,0.8426593877948918,8.7
WALL·E,0.8223812701700415,56,1589,0.8546255506607929,8.4
The Usual Suspects,0.8222442810164796,47,1569,0.8349267049075845,8.5
Batman Begins,0.8215943409489341,132,3271,0.8535616019565881,8.2
Relatos salvajes,0.818667896374402,200,311,0.9035369774919614,8.1
The Pianist,0.817950561455569,32,1164,0.8556701030927835,8.5
The Truman Show,0.817778474908265,133,1607,0.8886123210952085,8.2
The Great Dictator,0.8171483640349193,67,355,0.9098591549295775,8.4
Ikiru,0.816925405738373,95,310,0.8935483870967742,8.3
On the Waterfront,0.8162426417930712,209,414,0.8671497584541062,8.1
Chinatown,0.816104782703322,164,676,0.8609467455621301,8.1
The Grand Budapest Hotel,0.8159161521345067,189,1169,0.8434559452523525,8.1
The Sixth Sense,0.8142609965910452,143,2420,0.8347107438016529,8.2
Double Indemnity,0.8142164213856654,104,511,0.8864970645792564,8.3
